index,name,x,y,demand
demand1,Traveling Salesperson Agency,126.11172498465316,89.42904841402338,15
demand12,KKT Air Conditioning,256.57213014119094,158.0534223706177,45
demand13,Linear Regression Psychology Services,315.2793124616329,163.64273789649417,45
demand14,George's Basic Diet Solutions,213.70656844689995,160.53756260434056,35
demand15,MILP Mart,176.7427869858809,186.93155258764608,5
demand16,Rothberg Tower,129.21792510742787,168.6110183639399,15
demand17,Multimodal Distribution Center,68.02578268876611,229.7829716193656,20
demand18,Callback Cat Café,187.6144874155924,222.64106844741238,15
demand20,Complex Complex,239.48802946593003,246.86143572621037,50
demand23,Anna Konda's Pet Shop,395.4192756292204,220.77796327212022,5
demand27,Bixby Hall,279.55801104972375,298.40734557595994,20
demand28,RINS Laundromat,169.90914671577656,306.17028380634395,5
demand33,Interior Point Decorating,267.1332105586249,362.0634390651085,15
demand40,Land & Harcourt's B&B,375.2289748311848,491.23873121869786,35
demand41,K-Fold Parking Validation,233.89686924493554,480.68113522537567,35
demand44,Bias & Variance Courthouse,193.82688766114182,446.52420701168614,20
demand46,Lagrange Boulangerie,104.98956414978515,419.1986644407346,15
demand49,Big-M Market,241.9729895641498,421.68280467445743,30
demand52,Cutting Stock Atelier,217.12338858195213,104.02337228714525,30
demand53,Gu Library,278.62615101289134,105.57595993322204,45
