demand_node_index,truck_node_index,distance,scaled_demand
demand1,truck3,347.96943380882016,0
demand1,truck8,132.82216129798942,13
demand1,truck14,203.75655924937624,7
demand1,truck17,379.7621726562722,0
demand1,truck27,372.9060869093264,0
demand1,truck28,431.56466844072503,0
demand1,truck30,515.7551617917267,0
demand1,truck33,623.297279184686,0
demand1,truck37,497.25071844430374,0
demand1,truck42,658.2131862628978,0
demand1,truck52,362.98065517125997,0
demand1,truck44,468.8938536436937,0
demand12,truck3,289.41234558822754,2
demand12,truck8,190.05043394836605,25
demand12,truck14,168.1753919920475,30
demand12,truck17,194.45700745233688,24
demand12,truck27,293.8910185703953,1
demand12,truck28,352.54960010179394,0
demand12,truck30,330.4499965877914,0
demand12,truck33,437.99211398075084,0
demand12,truck37,418.23565010537266,0
demand12,truck42,472.9787298687376,0
demand12,truck52,177.67548996732467,28
demand12,truck44,283.58868843975847,4
demand13,truck3,272.0978074726736,6
demand13,truck8,324.803250771046,0
demand13,truck14,243.77352546044855,13
demand13,truck17,104.78624994793587,44
demand13,truck27,287.65783282172174,3
demand13,truck28,314.3729473405976,0
demand13,truck30,241.65163584628343,13
demand13,truck33,349.1937532392428,0
demand13,truck37,380.0589973441763,0
demand13,truck42,384.1803691272296,0
demand13,truck52,171.44230421865103,29
demand13,truck44,194.7903276982505,24
demand14,truck3,295.09517438095173,1
demand14,truck8,195.7332627410902,18
demand14,truck14,151.2862105072712,26
demand14,truck17,177.56782596756054,21
demand14,truck27,277.00183708561906,4
demand14,truck28,335.6604186170177,0
demand14,truck30,313.5608151030151,0
demand14,truck33,421.1029324959745,0
demand14,truck37,401.3464686205964,0
demand14,truck42,456.0895483839613,0
demand14,truck52,160.78630848254835,24
demand14,truck44,266.69950695498216,6
demand15,truck3,315.91701296649063,0
demand15,truck8,80.79174920957256,5
demand15,truck14,106.83487901464807,5
demand15,truck17,282.840492421544,0
demand15,truck27,275.98440667459823,1
demand15,truck28,334.64298820599686,0
demand15,truck30,418.83348155699855,0
demand15,truck33,526.375598949958,0
demand15,truck37,400.3290382095756,0
demand15,truck42,561.2915060281696,0
demand15,truck52,266.05897493653185,1
demand15,truck44,371.9721734089656,0
demand16,truck3,398.53922671669034,0
demand16,truck8,163.41396295977228,10
demand16,truck14,82.38423764917482,15
demand16,truck17,258.38985105607077,3
demand16,truck27,251.53376530912502,4
demand16,truck28,310.1923468405236,0
demand16,truck30,394.3828401915253,0
demand16,truck33,501.92495758448473,0
demand16,truck37,375.8783968441023,0
demand16,truck42,536.8408646626963,0
demand16,truck52,241.60833357105858,4
demand16,truck44,347.52153204349236,0
demand17,truck3,455.61436022151423,0
demand17,truck8,220.48909646459612,8
demand17,truck14,139.45937115399866,16
demand17,truck17,315.4649845608946,0
demand17,truck27,221.48177840676445,8
demand17,truck28,280.14035993816304,2
demand17,truck30,364.59407551971526,0
demand17,truck33,472.1361929126747,0
demand17,truck37,345.82640994174176,0
demand17,truck42,506.7888777603358,0
demand17,truck52,211.8195688992485,9
demand17,truck44,317.7327673716823,0
demand18,truck3,344.14285326972936,0
demand18,truck8,244.5334408403735,4
demand18,truck14,163.50371552977603,10
demand18,truck17,189.7853309900654,8
demand18,truck27,221.41502848487693,6
demand18,truck28,280.07361001627555,1
demand18,truck30,257.9740065022729,3
demand18,truck33,365.51612389523234,0
demand18,truck37,345.75966001985427,0
demand18,truck42,400.5027397832191,0
demand18,truck52,105.19949988180623,15
demand18,truck44,211.11269835424002,7
demand20,truck3,375.40877516138687,0
demand20,truck8,275.799362732031,6
demand20,truck14,194.76963742143354,26
demand20,truck17,167.82395467383324,33
demand20,truck27,178.43895379098896,30
demand20,truck28,237.09753532238756,16
demand20,truck30,214.99793180838495,21
demand20,truck33,322.54004920134435,0
demand20,truck37,302.78358532596627,0
demand20,truck42,357.5266650893311,0
demand20,truck52,62.22342518791825,50
demand20,truck44,168.13662366035203,33
demand23,truck3,344.10481273281954,0
demand23,truck8,436.36781371764556,0
demand23,truck14,355.99421568206236,0
demand23,truck17,182.21195610957767,3
demand23,truck27,399.87852304333546,0
demand23,truck28,331.95596002962174,0
demand23,truck30,236.99551598174736,2
