index,name,x,y,demand
demand11,Reinforcement Learning Puppy Training,284.83855125844076,188.79465776293824,40
demand12,KKT Air Conditioning,256.57213014119094,158.0534223706177,35
demand18,Callback Cat Café,187.6144874155924,222.64106844741238,30
demand19,Toy Problems 'ᴙ' Us,152.2038060159607,245.30884808013357,40
demand20,Complex Complex,239.48802946593003,246.86143572621037,50
demand21,Gurobi Polytope,295.71025168815225,240.96160267111856,10
demand27,Bixby Hall,279.55801104972375,298.40734557595994,50
demand28,RINS Laundromat,169.90914671577656,306.17028380634395,45
demand29,IIS Tower,113.68692449355433,291.8864774624374,35
demand34,Scheduling Station,359.3873542050338,363.9265442404007,40
demand35,Elastic Net Fishing Supplies,437.66359729895646,354.61101836393993,30
demand40,Land & Harcourt's B&B,375.2289748311848,491.23873121869786,5
demand41,K-Fold Parking Validation,233.89686924493554,480.68113522537567,10
demand52,Cutting Stock Atelier,217.12338858195213,104.02337228714525,5
