demand_node_index,truck_node_index,distance,scaled_demand
demand11,truck1,365.8144800750022,0
demand11,truck6,318.12875063079963,0
demand11,truck8,250.43514193574634,10
demand11,truck9,173.94659592403326,25
demand11,truck12,210.58899337302893,18
demand11,truck13,217.75409826043241,16
demand11,truck14,169.4054166251489,26
demand11,truck15,96.71967505006045,40
demand11,truck16,63.718556287182246,40
demand11,truck17,82.60599846203378,40
demand11,truck27,265.47758133581965,7
demand11,truck37,357.8787458582742,0
demand11,truck38,355.54769905077427,0
demand11,truck46,406.71074152741465,0
demand11,truck49,474.2226233175491,0
demand11,truck47,186.57085000193078,23
demand11,truck55,375.9930859649996,0
demand12,truck1,307.3805327790353,0
demand12,truck6,277.4294629800088,4
demand12,truck8,190.05043394836605,19
demand12,truck9,113.3143871471586,33
demand12,truck12,149.95678459615428,26
demand12,truck13,216.52407362733103,15
demand12,truck14,168.1753919920475,23
demand12,truck15,95.48965041695907,35
demand12,truck16,175.56956527748537,22
demand12,truck17,194.45700745233688,18
demand12,truck27,293.8910185703953,1
demand12,truck37,418.23565010537266,0
demand12,truck38,364.9796924476485,0
demand12,truck46,517.6893537548248,0
demand12,truck49,585.2012355449592,0
demand12,truck47,297.54946222934086,0
demand12,truck55,486.9716981924097,0
demand18,truck1,359.9127789796293,0
demand18,truck6,312.2270495354268,0
demand18,truck8,244.5334408403735,8
demand18,truck9,168.0448948286604,20
demand18,truck12,204.68729227765607,14
demand18,truck13,211.85239716505956,13
demand18,truck14,163.50371552977603,20
demand18,truck15,90.81797395468759,30
demand18,truck16,170.8978888152139,19
demand18,truck17,189.7853309900654,17
demand18,truck27,221.41502848487693,12
demand18,truck37,345.75966001985427,0
demand18,truck38,292.5037023621301,1
demand18,truck46,445.21336366930626,0
demand18,truck49,512.7252454594407,0
demand18,truck47,225.07347214382239,11
demand18,truck55,414.4957081068912,0
demand19,truck1,334.92981757770536,0
demand19,truck6,287.24408813350277,3
demand19,truck8,219.55047943844954,16
demand19,truck9,226.04719098476488,15
demand19,truck12,262.68958843376055,7
demand19,truck13,186.86943576313558,23
demand19,truck14,138.52075412785206,32
demand19,truck15,148.82027011079208,30
demand19,truck16,202.38620781929112,20
demand19,truck17,221.27364999414263,16
demand19,truck27,191.1897009976063,22
demand19,truck37,315.5343325325836,0
demand19,truck38,219.7288431999726,16
demand19,truck46,455.68698429572765,0
demand19,truck49,523.198866085862,0
demand19,truck47,235.54709277024378,13
demand19,truck55,424.9693287333126,0
demand20,truck1,391.1787008712868,0
demand20,truck6,343.4929714270843,0
demand20,truck8,275.799362732031,6
demand20,truck9,199.31081672031792,25
demand20,truck12,235.95321416931358,16
demand20,truck13,243.11831905671707,14
demand20,truck14,194.76963742143354,26
demand20,truck15,122.08389584634513,44
demand20,truck16,148.93651249898173,38
demand20,truck17,167.82395467383324,33
demand20,truck27,178.43895379098896,30
demand20,truck37,302.78358532596627,0
demand20,truck38,268.50907150594367,8
demand20,truck46,402.23728897541827,0
demand20,truck49,469.7491707655527,0
demand20,truck47,182.0973974499344,29
demand20,truck55,371.5196334130032,0
demand21,truck1,440.5679868668999,0
demand21,truck6,392.8822574226973,0
demand21,truck8,325.188648727644,0
demand21,truck9,248.70010271593094,3
demand21,truck12,285.3425001649266,1
demand21,truck13,292.5076050523301,0
demand21,truck14,244.15892341704657,3
demand21,truck15,171.47318184195817,6
demand21,truck16,86.28420572968233,10
demand21,truck17,105.17164790453386,10
demand21,truck27,205.8523162103568,5
demand21,truck37,330.1969477453341,0
demand21,truck38,295.92243392531145,0
demand21,truck46,429.27639096991476,0
demand21,truck49,496.7882727600492,0
demand21,truck47,209.13649944443088,5
demand21,truck55,398.5587354074997,0
demand27,truck1,522.5494595005155,0
demand27,truck6,474.8637300563129,0
demand27,truck8,407.1701213612596,0
demand27,truck9,431.67832903484896,0
demand27,truck12,468.3207264838446,0
demand27,truck13,374.4890776859457,0
demand27,truck14,326.14039605066216,0
demand27,truck15,354.45140816087616,0
demand27,truck16,270.1348288114935,7
demand27,truck17,254.22728692637304,11
demand27,truck27,170.29982024714954,32
demand27,truck37,164.1707438003952,34
demand27,truck38,260.36993796210425,10
demand27,truck46,351.0884415391476,0
demand27,truck49,418.60032332928205,0
demand27,truck47,151.67206151719853,37
demand27,truck55,320.3707859767325,0
demand28,truck1,372.6516693707432,0
demand28,truck6,324.9659399265406,0
demand28,truck8,257.2723312314874,10
demand28,truck9,329.04724244459015,0
demand28,truck12,352.94203399633216,0
demand28,truck13,224.59128755617343,17
demand28,truck14,176.2426059208899,28
demand28,truck15,252.39649288569262,11
demand28,truck16,303.4432020573736,0
demand28,truck17,322.3306442322251,0
demand28,truck27,115.74967532049355,41
demand28,truck37,240.0943068554709,13
demand28,truck38,144.28881752285986,35
demand28,truck46,482.92705575423656,0
demand28,truck49,550.438937544371,0
demand28,truck47,283.5106757322875,4
demand28,truck55,452.2094001918215,0
demand29,truck1,416.568937919977,0
demand29,truck6,368.8832084757744,0
demand29,truck8,301.18959978072115,0
demand29,truck9,372.9645109938239,0
demand29,truck12,396.8593025455659,0
demand29,truck13,268.5085561054072,6
demand29,truck14,220.15987447012367,14
demand29,truck15,296.31376143492633,1
demand29,truck16,313.5438009160794,0
demand29,truck17,332.43124309093093,0
demand29,truck27,125.85027417919942,30
demand29,truck37,250.19490571417677,9
demand29,truck38,154.38941638156572,25
demand29,truck46,493.0276546129424,0
demand29,truck49,560.5395364030768,0
demand29,truck47,293.6112745909934,1
demand29,truck55,462.3099990505273,0
demand34,truck1,621.3908166893444,0
demand34,truck6,573.7050872451418,0
demand34,truck8,506.0114785500885,0
demand34,truck9,429.5229325383754,0
demand34,truck12,466.1653299873711,0
demand34,truck13,473.3304348747746,0
demand34,truck14,424.98175323949107,0
demand34,truck15,352.2960116644026,0
demand34,truck16,267.97943231501995,6
demand34,truck17,252.0718904298995,10
demand34,truck27,306.2301258202879,0
demand34,truck37,217.24131104219524,17
demand34,truck38,314.2900226465622,0
demand34,truck46,201.60393243306498,20
demand34,truck49,269.10696692087,6
demand34,truck47,149.516665020725,30
demand34,truck55,170.8862768706499,26
demand35,truck1,673.419701934963,0
demand35,truck6,625.7339724907604,0
demand35,truck8,558.040363795707,0
demand35,truck9,481.5518177839939,0
demand35,truck12,518.1942152329896,0
demand35,truck13,525.3593201203931,0
demand35,truck14,477.01063848510955,0
demand35,truck15,404.3248969100211,0
demand35,truck16,320.00831756063843,0
demand35,truck17,304.100775675518,0
demand35,truck27,363.87038910940424,0
demand35,truck37,274.8815743313116,4
demand35,truck38,371.9302859356785,0
demand35,truck46,198.35950589737502,15
demand35,truck49,265.86254038517995,5
demand35,truck47,201.54555026634347,15
demand35,truck55,167.64185033495994,20
demand40,truck1,753.1604705946555,0
demand40,truck6,705.4747411504529,0
demand40,truck8,637.7811324553995,0
demand40,truck9,561.2925864436863,0
demand40,truck12,597.934983892682,0
demand40,truck13,605.1000887800857,0
demand40,truck14,556.7514071448021,0
demand40,truck15,484.0656655697136,0
demand40,truck16,399.7490862203309,0
demand40,truck17,383.8415443352105,0
demand40,truck27,437.9997797255988,0
demand40,truck37,309.4894376919648,0
demand40,truck38,406.53814929633177,0
demand40,truck46,59.6660617797149,5
demand40,truck49,183.2922795785912,3
demand40,truck47,281.2863189260359,0
demand40,truck55,111.41887507213262,5
demand41,truck1,618.4950880542724,0
demand41,truck6,570.8093586100697,0
demand41,truck8,503.1157499150164,0
demand41,truck9,552.4531315978196,0
demand41,truck12,589.0955290468153,0
demand41,truck13,470.4347062397025,0
demand41,truck14,422.086024604419,0
demand41,truck15,475.22621072384686,0
demand41,truck16,441.5313393547758,0
demand41,truck17,425.62379746965536,0
demand41,truck27,285.78127963041845,1
demand41,truck37,153.30322218050392,7
demand41,truck38,230.4380824097779,3
demand41,truck46,282.69288900942973,1
demand41,truck49,350.2047707995642,0
demand41,truck47,323.0685720604808,0
demand41,truck55,277.09472946369453,1
demand52,truck1,220.12518036375482,2
demand52,truck6,190.1741105647283,3
demand52,truck8,102.79508153308551,5
demand52,truck9,68.32161216761105,5
demand52,truck12,104.96400961660672,5
demand52,truck13,223.9056240224428,2
demand52,truck14,175.6802401758857,3
demand52,truck15,146.717616758321,4
demand52,truck16,226.79753161884724,2
demand52,truck17,245.68497379369876,1
demand52,truck27,344.82976783583587,0
demand52,truck37,469.1743993708132,0
demand52,truck38,373.36891003820216,0
demand52,truck46,568.9173200961867,0
demand52,truck49,636.429201886321,0
demand52,truck47,348.77742857070274,0
demand52,truck55,538.1996645337715,0
