demand_node_index,truck_node_index,distance,scaled_demand
demand1,truck6,120.80084632552513,31
demand1,truck8,132.82216129798942,29
demand1,truck12,228.49186406283425,13
demand1,truck15,280.7948156208944,3
demand1,truck16,360.87473048142067,0
demand1,truck28,431.56466844072503,0
demand1,truck34,559.5130851232464,0
demand1,truck35,550.3347035335274,0
demand1,truck36,573.3480622260469,0
demand1,truck41,580.3330763731364,0
demand1,truck42,658.2131862628978,0
demand1,truck43,683.8011411434152,0
demand1,truck45,672.8045327076487,0
demand1,truck53,333.7621682785534,0
demand1,truck47,482.8546274332761,0
demand2,truck6,201.15757059203833,22
demand2,truck8,113.77854156039554,42
demand2,truck12,74.73390674302166,45
demand2,truck15,190.35975427783865,25
demand2,truck16,270.43966913836493,7
demand2,truck28,414.47180939454455,0
demand2,truck34,469.07802378019073,0
demand2,truck35,459.8996421904717,0
demand2,truck36,482.9837096927662,0
demand2,truck41,563.2402173269559,0
demand2,truck42,567.8488337296171,0
demand2,truck43,593.4367886101345,0
demand2,truck45,582.369471364593,0
demand2,truck53,243.3271069354977,13
demand2,truck47,392.41956609022037,0
demand11,truck6,318.12875063079963,0
demand11,truck8,250.43514193574634,5
demand11,truck12,210.58899337302893,9
demand11,truck15,96.71967505006045,20
demand11,truck16,63.718556287182246,20
demand11,truck28,292.1926958546955,1
demand11,truck34,263.2293076919011,4
demand11,truck35,254.05092610218213,5
demand11,truck36,277.13499360447656,2
demand11,truck41,440.9611037871069,0
demand11,truck42,362.0001176413275,0
demand11,truck43,387.5880725218448,0
demand11,truck45,376.52075527630336,0
demand11,truck53,149.68702770771952,15
demand11,truck47,186.57085000193078,11
demand14,truck6,283.11229177273293,2
demand14,truck8,195.7332627410902,13
demand14,truck12,155.63961338887844,18
demand14,truck15,78.60046893218275,25
demand14,truck16,158.68038379270902,18
demand14,truck28,335.6604186170177,0
demand14,truck34,357.3187384345349,0
demand14,truck35,348.14035684481587,0
demand14,truck36,371.22442434711036,0
demand14,truck41,484.42882654942906,0
demand14,truck42,456.0895483839613,0
demand14,truck43,481.6775032644786,0
demand14,truck45,470.61018601893716,0
demand14,truck53,131.56782158984183,21
demand14,truck47,280.66028074456455,2
demand15,truck6,168.17077824121534,26
demand15,truck8,80.79174920957256,40
demand15,truck12,176.46145197441737,25
demand15,truck15,183.87313538616624,23
demand15,truck16,263.9530502466925,7
demand15,truck28,334.64298820599686,0
demand15,truck34,462.59140488851835,0
demand15,truck35,453.4130232987993,0
demand15,truck36,476.4263819913187,0
demand15,truck41,483.4113961384083,0
demand15,truck42,561.2915060281696,0
demand15,truck43,586.879460908687,0
demand15,truck45,575.8828524729206,0
demand15,truck53,236.8404880438253,13
demand15,truck47,385.932947198548,0
demand21,truck6,392.8822574226973,0
demand21,truck8,325.188648727644,0
demand21,truck12,285.3425001649266,0
demand21,truck15,171.47318184195817,3
demand21,truck16,86.28420572968233,5
demand21,truck28,264.5108977417554,1
demand21,truck34,285.7949571344012,0
demand21,truck35,276.6165755446822,1
demand21,truck36,299.70064304697667,0
demand21,truck41,413.2793056741668,0
demand21,truck42,384.5657670838276,0
demand21,truck43,410.1537219643449,0
demand21,truck45,399.08640471880346,0
demand21,truck53,115.73564277962706,5
demand21,truck47,209.13649944443088,2
demand22,truck6,478.68345949889374,0
demand22,truck8,410.3337235288263,0
demand22,truck12,370.24007417661454,0
demand22,truck15,257.27438391815457,6
demand22,truck16,172.0854078058788,19
demand22,truck28,258.77849198039775,6
demand22,truck34,229.81510381760333,11
demand22,truck35,220.63672222788438,12
demand22,truck36,243.7207897301788,8
demand22,truck41,407.5468999128091,0
demand22,truck42,328.5859137670298,0
demand22,truck43,354.1738686475471,0
demand22,truck45,343.1065514020056,0
demand22,truck53,266.68580307742764,5
demand22,truck47,153.15664612763302,22
demand28,truck6,324.9659399265406,0
