employee,company,assigned_task,sum_sp,wasted_sp,assessment_score
Talent 1,['P3'],['T270'],8,12,[-0.027166504381694268]
Talent 2,"['P3', 'P3']","['T97', 'T166']",11,9,"[-0.017692307692307688, -0.017582417582417582]"
Talent 3,"['P2', 'P2']","['T125', 'T297']",11,9,"[-0.019116977696859355, -0.011648351648351648]"
Talent 4,"['P5', 'P5']","['T153', 'T296']",10,10,"[-0.01749788672865596, -0.011564986737400529]"
Talent 5,['P4'],['T39'],8,12,[-0.029608127721335267]
Talent 6,"['P5', 'P5']","['T83', 'T242']",11,9,"[-0.015746606334841626, -0.00968262506724045]"
Talent 7,"['P4', 'P4', 'P4', 'P4', 'P4']","['T124', 'T151', 'T199', 'T240', 'T281']",11,9,"[0.00028490028490028103, 0.001698301698301698, 0.0015824175824175825, 0.001085972850678731, -0.0001681378730558975]"
Talent 8,"['P2', 'P2', 'P2', 'P2', 'P2']","['T5', 'T44', 'T229', 'T291', 'T298']",11,9,"[0.012620912022109623, 0.012725546058879385, 0.009966134494436379, 0.01244997776789684, 0.012307692307692308]"
Talent 9,"['P3', 'P3']","['T278', 'T289']",10,10,"[-0.017294429708222814, -0.016429249762583097]"
Talent 10,"['P2', 'P2', 'P2']","['T49', 'T165', 'T223']",11,9,"[0.01013783903957314, 0.010461538461538461, 0.009682625067240455]"
Talent 11,"['P4', 'P4', 'P4', 'P4']","['T85', 'T106', 'T136', 'T212']",11,9,"[0.001975051975051975, -0.005128205128205126, -0.00285277636271014, -0.004072398190045248]"
Talent 12,"['P1', 'P1']","['T29', 'T179']",11,9,"[-0.012326803631151458, -0.013450023030861357]"
Talent 13,"['P1', 'P1', 'P1']","['T75', 'T257', 'T266']",11,9,"[-0.004033771106941837, -0.011252747252747249, -0.009300304215558454]"
Talent 14,"['P3', 'P3', 'P3']","['T10', 'T202', 'T255']",11,9,"[-0.0038730500268961787, -0.009675858732462505, -0.009340659340659342]"
Talent 15,"['P4', 'P4']","['T56', 'T84']",11,9,"[-0.016362827923521568, -0.015601300108342358]"
Talent 16,"['P4', 'P4', 'P4', 'P4']","['T217', 'T225', 'T261', 'T272']",11,9,"[-0.002065049044914819, -0.003296703296703299, -0.006672845227062093, -0.004205866076369671]"
Talent 17,['P3'],['T92'],8,12,[-0.035140815468684326]
Talent 18,"['P4', 'P4']","['T82', 'T102']",10,10,"[-0.030026012634708273, -0.026079802550390788]"
Talent 19,"['P3', 'P3', 'P3', 'P3', 'P3']","['T89', 'T115', 'T173', 'T284', 'T286']",11,9,"[0.0035571365051133845, 0.0003308519437551693, 0.00038703434929850014, 0.0035576923076923095, 0.0005769230769230765]"
Talent 20,['P2'],['T67'],8,12,[-0.023276723276723272]
Talent 21,"['P2', 'P2', 'P2', 'P2', 'P2']","['T19', 'T108', 'T117', 'T152', 'T279']",11,9,"[0.016008316008316013, 0.012553091080698445, 0.007734342160571679, 0.009169638308711156, 0.013159167876149005]"
Talent 22,"['P3', 'P3']","['T126', 'T163']",11,9,"[-0.010779696493982215, -0.013613053613053613]"
Talent 23,"['P3', 'P3']","['T180', 'T245']",11,9,"[-0.012773892773892776, -0.01600711427301022]"
Talent 24,"['P2', 'P2', 'P2']","['T131', 'T150', 'T205']",11,9,"[-0.008408982322025799, -0.0059886422302529736, -0.005838739573679329]"
Talent 25,"['P3', 'P3']","['T58', 'T246']",11,9,"[-0.021794871794871797, -0.018414918414918408]"
Talent 26,"['P1', 'P1', 'P1', 'P1', 'P1']","['T26', 'T112', 'T222', 'T258', 'T273']",11,9,"[-0.003448275862068962, -1.708035422500241e-18, -0.003148897885739991, 0.0007918552036199084, 0.0017320427916454393]"
Talent 27,"['P1', 'P1']","['T206', 'T294']",11,9,"[-0.016301579215486497, -0.01805246776345042]"
Talent 28,"['P3', 'P3', 'P3', 'P3']","['T182', 'T214', 'T237', 'T277']",11,9,"[-0.00019851116625310225, 0.0010911074740861991, 0.00010465724751438708, 0.0015481373971940023]"
Talent 29,['P3'],['T154'],8,12,[-0.023269230769230764]
Talent 30,"['P4', 'P4']","['T253', 'T262']",11,9,"[-0.007481559536354053, -0.01452991452991453]"
Talent 31,"['P1', 'P1', 'P1', 'P1', 'P1', 'P1']","['T2', 'T55', 'T244', 'T248', 'T269', 'T292']",11,9,"[0.00020110608345902904, -0.0007085020242914993, 0.0030145530145530195, 0.00028142589118199243, -0.0010194624652455984, 0.002351788339049485]"
Talent 34,['P1'],['T290'],8,12,[-0.026452684006640834]
Talent 35,"['P1', 'P1']","['T4', 'T226']",11,9,"[-0.02600934976625583, -0.02493368700265252]"
Talent 36,"['P2', 'P2']","['T62', 'T145']",11,9,"[-0.014021421616358332, -0.014669051878354206]"
Talent 37,"['P2', 'P2', 'P2']","['T9', 'T32', 'T155']",11,9,"[-0.007832167832167832, -0.006669630947087594, -0.004625439919557567]"
Talent 38,"['P5', 'P5']","['T183', 'T194']",11,9,"[-0.01486310299869622, -0.01373626373626374]"
Talent 39,"['P2', 'P2', 'P2']","['T135', 'T164', 'T259']",11,9,"[0.0037816931671680242, 6.832141690000964e-18, 0.007330924109447593]"
Talent 40,"['P5', 'P5']","['T13', 'T144']",11,9,"[-0.009474141677531503, -0.01035316884373488]"
Talent 41,"['P1', 'P1']","['T30', 'T275']",11,9,"[-0.018623481781376516, -0.016490096729617685]"
Talent 42,"['P3', 'P3', 'P3', 'P3']","['T34', 'T100', 'T191', 'T227']",11,9,"[0.003111495246326706, 0.0005982905982905979, 0.0016896398399288573, 0.0032159930465015204]"
Talent 43,"['P5', 'P5']","['T17', 'T111']",11,9,"[-0.02090947726306841, -0.014365766683647481]"
