employee,company,assigned_task,sum_sp,wasted_sp,assessment_score
Talent 6,"['P3', 'P3']","['T93', 'T116']",16,4,"[-0.013510848126232742, -0.015484515484515482]"
Talent 7,"['P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4']","['T106', 'T124', 'T151', 'T196', 'T199', 'T240', 'T267', 'T281']",20,0,"[0.002210433244916002, 0.00028490028490028103, 0.001698301698301698, 0.0030202925908447463, 0.0015824175824175825, 0.001085972850678731, 0.00046904315196998335, -0.0001681378730558975]"
Talent 8,"['P2', 'P2', 'P2', 'P2']","['T67', 'T170', 'T177', 'T291']",20,0,"[0.00909090909090909, 0.010227761065749887, 0.011442307692307694, 0.01244997776789684]"
Talent 10,"['P2', 'P2', 'P2', 'P2', 'P2', 'P2', 'P2']","['T47', 'T200', 'T205', 'T249', 'T259', 'T260', 'T265']",20,0,"[0.008938547486033517, 0.012787212787212785, 0.015569972196478219, 0.013039399624765488, 0.013835828600929266, 0.011582670203359853, 0.006919006919006918]"
Talent 11,"['P5', 'P5', 'P5', 'P5']","['T18', 'T72', 'T110', 'T153']",20,0,"[-0.001075847229693383, -0.0024975024975024992, -0.003209739900387383, -0.007607776838546075]"
Talent 12,"['P3', 'P3']","['T154', 'T285']",16,4,"[-0.010961538461538464, -0.010650887573964499]"
Talent 13,"['P1', 'P1', 'P1']","['T30', 'T75', 'T179']",19,1,"[-0.009626630679262253, -0.004033771106941837, -0.00856748042376785]"
Talent 14,"['P3', 'P3']","['T58', 'T270']",16,4,"[-0.009829059829059836, -0.008763388510223956]"
Talent 16,"['P4', 'P4', 'P4', 'P4']","['T57', 'T61', 'T215', 'T261']",20,0,"[-0.0037422037422037433, -0.006713286713286712, -0.0025489303595812407, -0.006672845227062093]"
Talent 19,"['P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1']","['T4', 'T14', 'T40', 'T149', 'T159', 'T174', 'T210', 'T222']",20,0,"[8.499787505312345e-05, -0.0002714932126696874, 0.0010088272383354396, -0.0011054813450023032, -1.708035422500241e-18, -0.00120481927710843, 0.00017383746197305615, 8.996851102114345e-05]"
Talent 21,"['P2', 'P2', 'P2', 'P2', 'P2', 'P2', 'P2']","['T135', 'T201', 'T213', 'T223', 'T229', 'T283', 'T298']",20,0,"[0.009454232917920063, 0.010508617065994125, 0.013091256569517446, 0.012049488972565896, 0.005224963715529752, 0.01068631966835559, 0.01048076923076923]"
Talent 23,['P3'],['T97'],8,12,[-0.017788461538461538]
Talent 24,"['P2', 'P2', 'P2', 'P2']","['T9', 'T150', 'T155', 'T224']",19,1,"[-0.007832167832167832, -0.0059886422302529736, -0.0065359477124183, -0.009931840311587148]"
Talent 26,"['P1', 'P1', 'P1', 'P1', 'P1', 'P1']","['T26', 'T54', 'T128', 'T206', 'T257', 'T258']",20,0,"[-0.003448275862068962, 9.925558312655283e-05, 0.0018384131591678758, -0.00010188487009678773, -0.0050109890109890105, 0.0007918552036199084]"
Talent 28,"['P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4']","['T70', 'T85', 'T95', 'T123', 'T184', 'T217', 'T225', 'T272', 'T295']",20,0,"[0.0007644529383659867, 0.0010395010395010391, -0.0011758941695247426, 9.990009990009737e-05, 0.002511773940345368, 0.0015487867836861085, 0.0024975024975024975, -0.0013281682346430517, 9.438414346389923e-05]"
