employee,company,assigned_task,sum_sp,wasted_sp,assessment_score
Talent 1,"['P3', 'P3']","['T158', 'T270']",10,10,"[-0.024291497975708495, -0.027166504381694268]"
Talent 2,"['P3', 'P3']","['T97', 'T166']",11,9,"[-0.017692307692307688, -0.017582417582417582]"
Talent 3,"['P2', 'P2', 'P2']","['T19', 'T200', 'T297']",11,9,"[-0.012681912681912683, -0.018781218781218776, -0.011648351648351648]"
Talent 4,"['P5', 'P5']","['T83', 'T193']",11,9,"[-0.017013574660633492, -0.016894761680037746]"
Talent 5,['P4'],['T39'],8,12,[-0.029608127721335267]
Talent 6,"['P5', 'P5', 'P5']","['T45', 'T153', 'T296']",11,9,"[-0.01253183902190525, -0.01513102282333052, -0.010397877984084885]"
Talent 7,"['P4', 'P4', 'P4', 'P4', 'P4']","['T124', 'T151', 'T199', 'T240', 'T281']",11,9,"[0.00028490028490028103, 0.001698301698301698, 0.0015824175824175825, 0.001085972850678731, -0.0001681378730558975]"
Talent 8,"['P2', 'P2', 'P2', 'P2', 'P2']","['T109', 'T117', 'T205', 'T229', 'T260']",11,9,"[0.01373626373626374, 0.010592686002522077, 0.017886932344763677, 0.009966134494436379, 0.012908930150309457]"
Talent 9,"['P3', 'P3']","['T278', 'T289']",10,10,"[-0.017294429708222814, -0.016429249762583097]"
Talent 10,"['P2', 'P2', 'P2', 'P2', 'P2']","['T6', 'T49', 'T108', 'T293', 'T298']",11,9,"[0.009194355939918068, 0.01013783903957314, 0.014912694667295895, 0.009309162175404211, 0.01076923076923077]"
Talent 11,"['P4', 'P4', 'P4']","['T82', 'T123', 'T212']",11,9,"[-0.011073950204384984, -0.006293706293706293, -0.004072398190045248]"
Talent 12,"['P1', 'P1']","['T29', 'T179']",11,9,"[-0.012326803631151458, -0.013450023030861357]"
Talent 13,"['P4', 'P4', 'P4']","['T84', 'T102', 'T272']",10,10,"[-0.0070422535211267625, -0.011764705882352944, -0.006862202545655783]"
Talent 14,"['P3', 'P3', 'P3']","['T10', 'T202', 'T255']",11,9,"[-0.0038730500268961787, -0.009675858732462505, -0.009340659340659342]"
Talent 15,"['P4', 'P4']","['T56', 'T99']",9,11,"[-0.016362827923521568, -0.02003798670465337]"
Talent 16,"['P4', 'P4', 'P4', 'P4']","['T106', 'T217', 'T225', 'T261']",11,9,"[-0.004686118479221925, -0.002065049044914819, -0.003296703296703299, -0.006672845227062093]"
Talent 17,['P3'],['T92'],8,12,[-0.035140815468684326]
Talent 18,"['P1', 'P1']","['T30', 'T75']",11,9,"[-0.024111560953666216, -0.02045028142589119]"
Talent 19,"['P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3']","['T23', 'T137', 'T173', 'T176', 'T208', 'T219', 'T284']",11,9,"[0.002750322303394927, 0.002797202797202798, 0.00038703434929850014, 0.0006526806526806586, 0.002101723413198828, 0.001190476190476188, 0.0035576923076923095]"
Talent 20,"['P1', 'P1']","['T189', 'T251']",11,9,"[-0.022222222222222227, -0.022271914132379257]"
Talent 21,"['P2', 'P2', 'P2']","['T131', 'T165', 'T259']",11,9,"[0.012422360248447208, 0.006593406593406596, 0.009602478058853886]"
Talent 22,"['P3', 'P3']","['T126', 'T163']",11,9,"[-0.010779696493982215, -0.013613053613053613]"
Talent 23,"['P3', 'P3']","['T191', 'T245']",11,9,"[-0.01734104046242774, -0.01600711427301022]"
Talent 24,"['P2', 'P2']","['T150', 'T223']",10,10,"[-0.0059886422302529736, -0.008176438945669716]"
Talent 25,"['P3', 'P3']","['T58', 'T246']",11,9,"[-0.021794871794871797, -0.018414918414918408]"
Talent 26,"['P1', 'P1', 'P1']","['T26', 'T257', 'T258']",11,9,"[-0.003448275862068962, -0.0050109890109890105, 0.0007918552036199084]"
Talent 27,"['P3', 'P3']","['T68', 'T119']",11,9,"[-0.02148384160218478, -0.01686390532544378]"
Talent 28,"['P3', 'P3', 'P3', 'P3']","['T48', 'T182', 'T197', 'T287']",11,9,"[-0.0015205724508050083, -0.00019851116625310225, -0.0012738853503184693, 0.006015037593984961]"
Talent 29,['P3'],['T285'],8,12,[-0.02287968441814595]
Talent 30,"['P4', 'P4']","['T253', 'T262']",11,9,"[-0.007481559536354053, -0.01452991452991453]"
Talent 31,"['P1', 'P1', 'P1', 'P1', 'P1']","['T2', 'T4', 'T41', 'T248', 'T269']",11,9,"[0.00020110608345902904, -0.0024649383765405837, -0.0030364372469635584, 0.00028142589118199243, -0.0010194624652455984]"
Talent 34,['P1'],['T290'],8,12,[-0.026452684006640834]
Talent 35,"['P1', 'P1']","['T54', 'T226']",11,9,"[-0.022233250620347395, -0.02493368700265252]"
Talent 36,"['P2', 'P2']","['T62', 'T145']",11,9,"[-0.014021421616358332, -0.014669051878354206]"
Talent 37,"['P2', 'P2']","['T67', 'T279']",10,10,"[-0.011388611388611391, -0.005515239477503626]"
Talent 38,"['P5', 'P5']","['T132', 'T183']",11,9,"[-0.013747954173486086, -0.01486310299869622]"
Talent 39,"['P1', 'P1', 'P1', 'P1', 'P1']","['T66', 'T149', 'T174', 'T239', 'T244']",11,9,"[0.002174788562223117, 0.004882542607093503, 0.0024096385542168703, 0.0014729950900163628, 0.009771309771309772]"
Talent 40,"['P5', 'P5']","['T13', 'T144']",11,9,"[-0.009474141677531503, -0.01035316884373488]"
Talent 41,"['P3', 'P3']","['T93', 'T180']",11,9,"[-0.01735700197238659, -0.014545454545454542]"
Talent 42,"['P3', 'P3', 'P3', 'P3']","['T100', 'T227', 'T263', 'T271']",10,10,"[0.0005982905982905979, 0.0032159930465015204, 0.00502354788069074, 0.0035571365051133828]"
Talent 43,"['P5', 'P5']","['T17', 'T111']",11,9,"[-0.02090947726306841, -0.014365766683647481]"
Talent 44,['P1'],['T250'],8,12,[-0.02648018648018649]
Talent 45,"['P5', 'P5', 'P5', 'P5', 'P5']","['T31', 'T42', 'T65', 'T77', 'T194']",11,9,"[-0.0053709604005462005, 0.00010610079575596582, -0.0021022455805064506, -0.0020399490012749663, 0.00036630036630036673]"
Talent 46,"['P4', 'P4', 'P4', 'P4', 'P4', 'P4']","['T15', 'T85', 'T95', 'T136', 'T156', 'T247']",11,9,"[1.708035422500241e-18, 0.006652806652806655, -0.0007839294463498283, 0.0029546612328069295, -9.615384615384581e-05, 0.0013377926421404673]"
Talent 47,"['P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1']","['T14', 'T38', 'T40', 'T122', 'T129', 'T195', 'T252']",11,9,"[-0.00036199095022624136, 0.0052268244575936875, -0.0008406893652795267, 0.0011611030478955004, 0.0008643042350907558, 0.002380952380952381, 0.0009371339320577901]"
Talent 48,"['P5', 'P5', 'P5', 'P5']","['T3', 'T18', 'T50', 'T141']",11,9,"[-0.009541420118343191, -0.0033351264120494877, -0.003418803418803419, -0.011251435132032148]"
Talent 49,"['P3', 'P3']","['T154', 'T286']",11,9,"[-0.020961538461538462, -0.02548076923076923]"
Talent 50,"['P3', 'P3', 'P3', 'P3', 'P3']","['T53', 'T89', 'T113', 'T188', 'T300']",10,10,"[0.0019639934533551566, 0.00213428190306803, 0.0015117830146731874, 0.0010848126232741596, 0.00017683465959328007]"
