employee,company,assigned_task,sum_sp,wasted_sp,similarity_score
Talent 1,"['P3', 'P3']","['T93', 'T188']",10,10,"[0.06666666666666667, 0.06403138542094264]"
Talent 2,"['P3', 'P3', 'P3', 'P3']","['T73', 'T232', 'T271', 'T277']",11,9,"[0.07794631993683965, 0.07679192998680799, 0.08084368484747086, 0.07597176566820674]"
Talent 3,"['P2', 'P2']","['T63', 'T134']",11,9,"[0.0876798658303377, 0.0932292001349387]"
Talent 4,"['P5', 'P5', 'P5']","['T1', 'T218', 'T234']",11,9,"[0.07957225145133284, 0.08310284081240611, 0.08270931562630669]"
Talent 5,"['P2', 'P2']","['T140', 'T150']",10,10,"[0.06503681897195406, 0.0648999560670973]"
Talent 6,"['P3', 'P3']","['T25', 'T48']",10,10,"[0.08193923360737633, 0.08721576205752132]"
Talent 7,"['P5', 'P5', 'P5']","['T133', 'T169', 'T296']",11,9,"[0.09887195353458568, 0.09571114652049065, 0.11328488898947675]"
Talent 8,"['P4', 'P4', 'P4']","['T15', 'T37', 'T262']",11,9,"[0.08966860350813237, 0.08607633167462062, 0.10250154657765373]"
Talent 9,"['P3', 'P3']","['T58', 'T89']",10,10,"[0.07222702791868982, 0.06861305495365232]"
Talent 10,"['P2', 'P2', 'P2']","['T9', 'T49', 'T256']",11,9,"[0.08318642812478286, 0.08281231630595151, 0.09713302143908431]"
Talent 11,"['P2', 'P2', 'P2']","['T76', 'T201', 'T220']",11,9,"[0.08144451461091401, 0.07892363586328498, 0.08513868705164258]"
Talent 12,"['P1', 'P1']","['T204', 'T257']",10,10,"[0.08602984942665051, 0.08577557793587373]"
Talent 13,"['P4', 'P4', 'P4']","['T196', 'T212', 'T295']",10,10,"[0.06954543910258232, 0.07705491691708266, 0.08462632608958594]"
Talent 14,"['P5', 'P5', 'P5']","['T78', 'T207', 'T242']",10,10,"[0.09812989076205625, 0.08832752936704563, 0.09113030821915094]"
Talent 15,"['P4', 'P4', 'P4']","['T101', 'T123', 'T156']",11,9,"[0.07613045454500847, 0.07894143321718941, 0.07590857496485436]"
Talent 16,"['P4', 'P4', 'P4']","['T85', 'T98', 'T160']",11,9,"[0.08830234469045686, 0.06990985622528449, 0.0790842593046635]"
Talent 17,"['P2', 'P2']","['T170', 'T291']",9,11,"[0.0527861633798329, 0.05537490382493787]"
Talent 18,['P4'],['T261'],5,15,[0.06344145022772571]
Talent 19,['P3'],['T192'],5,15,[0.0866165250560005]
Talent 20,"['P4', 'P4']","['T146', 'T272']",10,10,"[0.07830842274625666, 0.07504057433125089]"
Talent 21,"['P4', 'P4', 'P4']","['T57', 'T185', 'T215']",11,9,"[0.08980090426255109, 0.08341764005141244, 0.08469261544805731]"
Talent 22,"['P2', 'P2', 'P2']","['T28', 'T152', 'T167']",11,9,"[0.06073881526029963, 0.07616231510513724, 0.06412509207229446]"
Talent 23,"['P5', 'P5', 'P5']","['T18', 'T45', 'T64']",11,9,"[0.08815170219611887, 0.09090909090909091, 0.0755638982219846]"
