employee,company,assigned_task,sum_sp,wasted_sp,similarity_score
Talent 1,"['P1', 'P1', 'P1', 'P1', 'P1']","['T55', 'T66', 'T121', 'T122', 'T269']",11,9,"[0.06877548815937806, 0.05677544627576782, 0.06440875736349501, 0.06272695193075688, 0.0625]"
Talent 2,"['P1', 'P1', 'P1']","['T14', 'T210', 'T233']",11,9,"[0.06606145219202231, 0.06711571427219169, 0.07073270349610719]"
Talent 3,"['P5', 'P5']","['T71', 'T83']",11,9,"[0.07897706510881926, 0.07550174634851904]"
Talent 4,"['P3', 'P3']","['T73', 'T255']",10,10,"[0.07624214667139073, 0.07395366286263685]"
Talent 5,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T18', 'T60', 'T90', 'T130', 'T211', 'T234', 'T236', 'T282']",11,9,"[0.06203657206513613, 0.06045458445122677, 0.060028105261468914, 0.057601955959040135, 0.05915802302383115, 0.061741769308468045, 0.05662728442366108, 0.0531364732915296]"
Talent 6,"['P3', 'P3']","['T80', 'T92']",11,9,"[0.07140242185198284, 0.07234918200648523]"
Talent 7,['P2'],['T297'],8,12,[0.08988057565169832]
Talent 8,"['P5', 'P5', 'P5']","['T50', 'T110', 'T169']",11,9,"[0.07885257005515899, 0.08745907644986621, 0.07758933254217107]"
Talent 9,"['P4', 'P4', 'P4']","['T35', 'T86', 'T281']",11,9,"[0.06241337886791544, 0.06652953492337146, 0.06236158256174507]"
Talent 10,"['P5', 'P5']","['T78', 'T296']",10,10,"[0.08107463663511526, 0.08982743707259452]"
Talent 11,"['P3', 'P3']","['T116', 'T263']",10,10,"[0.06993435999671126, 0.06804241658419692]"
Talent 12,"['P5', 'P5']","['T51', 'T153']",10,10,"[0.08031260006107137, 0.07207858697053993]"
Talent 13,"['P2', 'P2']","['T127', 'T201']",11,9,"[0.07442411325890512, 0.0751015628403149]"
Talent 14,['P3'],['T245'],8,12,[0.07737085091084331]
Talent 15,"['P1', 'P1']","['T29', 'T87']",11,9,"[0.06713732992773636, 0.07409969356615936]"
Talent 16,"['P5', 'P5']","['T12', 'T276']",11,9,"[0.07904847803550812, 0.06922240851600273]"
