employee,company,assigned_task,sum_sp,wasted_sp,similarity_score
Talent 1,"['P4', 'P4', 'P4']","['T37', 'T57', 'T184']",11,9,"[0.0613689724558547, 0.06860149765242292, 0.06747513137413291]"
Talent 2,"['P5', 'P5']","['T12', 'T144']",11,9,"[0.07827371299106874, 0.07794631993683965]"
Talent 3,"['P2', 'P2', 'P2', 'P2']","['T6', 'T155', 'T170', 'T177']",17,3,"[0.08375752292933673, 0.09052593345211099, 0.0797002925727394, 0.07997682196313399]"
Talent 4,"['P3', 'P3', 'P3', 'P3']","['T93', 'T113', 'T137', 'T232']",14,6,"[0.07590857496485436, 0.07584554597849674, 0.07614637968866267, 0.0769889099025277]"
Talent 5,"['P5', 'P5']","['T18', 'T142']",7,13,"[0.06203657206513613, 0.05356962369709584]"
Talent 6,"['P4', 'P4']","['T70', 'T272']",3,17,"[0.08893871631690063, 0.09754168800208393]"
Talent 7,"['P1', 'P1', 'P1', 'P1']","['T36', 'T179', 'T222', 'T269']",20,0,"[0.09523013987103701, 0.08948439291381059, 0.10140030286987003, 0.09571114652049065]"
Talent 8,"['P4', 'P4']","['T106', 'T136']",4,16,"[0.08203929617197658, 0.08638037246332804]"
Talent 9,"['P2', 'P2']","['T127', 'T216']",13,7,"[0.0742171597904925, 0.06475429373749833]"
Talent 10,"['P5', 'P5', 'P5']","['T16', 'T194', 'T221']",11,9,"[0.08842849098568166, 0.07949936953514648, 0.08563786063744523]"
Talent 11,"['P5', 'P5', 'P5', 'P5']","['T3', 'T143', 'T153', 'T288']",16,4,"[0.07514740458459425, 0.07427610840535602, 0.08046323843926946, 0.08462632608958592]"
Talent 12,"['P1', 'P1', 'P1']","['T239', 'T250', 'T273']",13,7,"[0.0782390506532548, 0.08410172374191824, 0.10384855381066375]"
Talent 13,"['P3', 'P3', 'P3', 'P3']","['T48', 'T173', 'T285', 'T286']",19,1,"[0.07779270608846722, 0.07219996866510679, 0.08596027144498221, 0.07695597170676968]"
Talent 14,['P4'],['T56'],8,12,[0.08502648816943975]
Talent 15,"['P1', 'P1', 'P1']","['T29', 'T54', 'T55']",8,12,"[0.06713732992773636, 0.07316603571871347, 0.08072896814786903]"
Talent 16,"['P2', 'P2']","['T131', 'T260']",7,13,"[0.07939043192043349, 0.07948118122475299]"
Talent 17,"['P2', 'P2', 'P2']","['T104', 'T125', 'T256']",13,7,"[0.060675298992922455, 0.05344553445110973, 0.06131978573260019]"
Talent 18,"['P3', 'P3']","['T120', 'T219']",7,13,"[0.06825753679655852, 0.06742029394482112]"
Talent 19,['P2'],['T109'],1,19,[0.08664025036696697]
Talent 20,"['P5', 'P5', 'P5', 'P5']","['T1', 'T42', 'T132', 'T207']",16,4,"[0.07469282726150989, 0.0782044356237335, 0.07855272795675068, 0.0677847741833739]"
Talent 21,"['P5', 'P5']","['T147', 'T236']",6,14,"[0.08575257746579572, 0.08226076943710102]"
Talent 22,"['P1', 'P1']","['T40', 'T105']",4,16,"[0.06252605831632282, 0.0685668616168545]"
Talent 23,"['P5', 'P5', 'P5']","['T13', 'T31', 'T110']",14,6,"[0.09305100366818048, 0.08418845950045863, 0.08982743707259451]"
Talent 24,"['P1', 'P1', 'P1', 'P1']","['T74', 'T238', 'T252', 'T294']",19,1,"[0.08738586158379205, 0.10198564590701498, 0.08547805171940309, 0.08974791141376437]"
Talent 25,"['P1', 'P1', 'P1', 'P1']","['T66', 'T171', 'T226', 'T292']",17,3,"[0.057915516138357936, 0.06910393283599928, 0.05730683980705692, 0.0672240069098375]"
Talent 26,"['P1', 'P1', 'P1', 'P1']","['T14', 'T75', 'T87', 'T275']",15,5,"[0.07023048070707784, 0.08399369156214145, 0.08201925345855558, 0.07502535103270168]"
Talent 27,"['P5', 'P5']","['T193', 'T218']",5,15,"[0.06879878953101484, 0.06845179516266667]"
Talent 28,"['P3', 'P3']","['T246', 'T287']",4,16,"[0.10635604331954024, 0.10735781379213591]"
Talent 29,['P3'],['T278'],5,15,[0.06339606063115251]
Talent 30,"['P2', 'P2', 'P2', 'P2']","['T49', 'T108', 'T145', 'T259']",11,9,"[0.07832579543955075, 0.08614620098465553, 0.08254533478100197, 0.09890772657493045]"
Talent 31,"['P2', 'P2', 'P2', 'P2', 'P2', 'P2', 'P2']","['T44', 'T46', 'T47', 'T63', 'T69', 'T164', 'T223']",20,0,"[0.0915214879117872, 0.07798058359572019, 0.09435198621756233, 0.0799027913099379, 0.08552361724909083, 0.07404117477922, 0.07645092207204773]"
Talent 34,"['P3', 'P3', 'P3', 'P3']","['T89', 'T100', 'T245', 'T271']",15,5,"[0.06228413465663938, 0.05770363219029305, 0.05651853073492876, 0.06107565188442043]"
Talent 35,"['P5', 'P5']","['T27', 'T141']",4,16,"[0.07356376391589424, 0.05312591320124148]"
Talent 36,"['P5', 'P5']","['T52', 'T111']",8,12,"[0.07110380330949086, 0.07743787385210517]"
Talent 37,['P5'],['T7'],5,15,[0.08982743707259451]
Talent 38,"['P3', 'P3', 'P3']","['T166', 'T197', 'T300']",8,12,"[0.0684059344691055, 0.07273332330483806, 0.06421922080250597]"
Talent 39,"['P2', 'P2', 'P2']","['T9', 'T161', 'T235']",18,2,"[0.09500822394122525, 0.09809498488784875, 0.09343844044224134]"
Talent 40,"['P4', 'P4']","['T99', 'T156']",3,17,"[0.08937965468443602, 0.08301951253873768]"
Talent 41,"['P3', 'P3']","['T158', 'T289']",7,13,"[0.10037251814914917, 0.07775869629907971]"
Talent 42,"['P5', 'P5', 'P5']","['T8', 'T17', 'T90']",11,9,"[0.08156240547064704, 0.09188942814050755, 0.09039029958107364]"
Talent 43,"['P3', 'P3', 'P3', 'P3']","['T24', 'T34', 'T176', 'T188']",7,13,"[0.0804443609227879, 0.07579837994659992, 0.08440651483013131, 0.08418845950045863]"
Talent 44,"['P1', 'P1']","['T26', 'T189']",8,12,"[0.0626306257717299, 0.0625]"
Talent 45,"['P4', 'P4', 'P4']","['T43', 'T123', 'T124']",5,15,"[0.09331869637251494, 0.09429021857897955, 0.09626551859565287]"
Talent 46,"['P3', 'P3', 'P3']","['T154', 'T192', 'T208']",14,6,"[0.08777854995713331, 0.07554834547310349, 0.08552361724909083]"
Talent 47,"['P2', 'P2', 'P2', 'P2']","['T88', 'T91', 'T162', 'T220']",19,1,"[0.08579859750297723, 0.091074847463486, 0.07834318002825469, 0.11565574057524254]"
Talent 48,"['P3', 'P3', 'P3']","['T103', 'T182', 'T264']",9,11,"[0.08901603945589438, 0.09226199479122207, 0.0865691346909028]"
Talent 49,"['P1', 'P1', 'P1', 'P1']","['T21', 'T148', 'T195', 'T230']",19,1,"[0.06305432437127101, 0.07259541022279316, 0.0645808163160916, 0.057514278745092594]"
Talent 50,['P5'],['T65'],2,18,[0.07908425930466352]
